Date,mgc_l_d
6/4/14,0.030263517
6/19/14,0.016920595
6/25/14,0.019778534
6/30/14,0.040956659
7/2/14,0.011383295
7/9/14,0.011718227
7/15/14,0.017988341
8/6/14,0.038580275
8/23/14,0.028713373
9/6/14,0.033868174
9/13/14,0.030698144
9/20/14,0.020624552
6/3/15,0.030586303
6/17/15,0.013246822
6/24/15,0.009574912
7/1/15,0.014125472
7/15/15,0.016486477
7/29/15,0.018967898
8/12/15,0.027275815
8/29/15,0.01713057
9/19/15,0.028092015
9/26/15,0.030603459
6/16/16,0.042781615
6/23/16,0.046739596
6/29/16,0.044972063
7/13/16,0.043611007
7/22/16,0.042345971
7/27/16,0.044046211
8/3/16,0.038529071
8/11/16,0.059995854
8/17/16,0.045893316
8/24/16,0.050046114
9/10/16,0.033245534
9/17/16,0.025075248
9/24/16,0.023846443
7/5/17,0.01835787
7/20/17,0.02721657
8/2/17,0.04198939
8/17/17,0.051499964
8/23/17,0.056561046
9/9/17,0.063490311
9/23/17,0.034894703