lake,year,yday,date,o2_pp_mmolcm3d,o2_pp_025_ci,o2_pp_975_ci,c14_pp_mmolcm3d,avg_o2_pp_mmolcm3d
Acton,2010,158,2010-06-07,309.0784932301271,198.07100624265007,422.10793651382744,252.98476396636417,NA
Acton,2010,165,2010-06-14,148.24256915265568,107.79578475665357,190.2011027354891,184.16451586046125,231.12874727739018
Acton,2010,179,2010-06-28,451.1178892956568,318.44330831303824,583.8593777375651,280.0974107068521,NA
Acton,2010,193,2010-07-12,322.1124846333204,161.68216704691957,480.45860733544544,238.4272749979186,NA
Acton,2010,200,2010-07-19,387.15356032575465,227.82286552160318,543.8461194342937,226.91699275663976,362.3486887324714
Acton,2010,207,2010-07-26,57.503061622567905,2.6078021005838248,189.81441017526086,248.31404545832987,355.6738001897718
Acton,2010,214,2010-08-02,76.5763089461063,5.720030904096035,189.3289016798006,199.48380651069854,95.72038618263286
Acton,2010,221,2010-08-09,134.70427645410282,21.603843844730175,264.1249477678354,174.67321621846642,192.0269875652641
Acton,2010,228,2010-08-16,219.17486039404875,68.8553030600306,373.95761756264903,214.6365831321289,NA
Acton,2010,237,2010-08-25,199.80645015530098,75.09632552097086,325.27559866214625,92.31537757056032,NA
Acton,2011,164,2011-06-13,182.53629427395094,90.88723320750191,276.21813841336484,143.24369328115895,NA
Acton,2011,179,2011-06-28,179.42475603134912,99.1031637280467,263.7366152077609,122.07976021979852,209.2757561277512
Acton,2011,206,2011-07-25,528.6964056959757,336.2402920267505,725.2300056596243,185.74639913412707,NA
Acton,2011,220,2011-08-08,267.59091271644564,101.59695539316417,427.8249426563193,255.09949213221216,205.72739948914318
Acton,2011,234,2011-08-22,185.60909573843364,60.14908260651167,314.64058678604397,122.42943968029307,159.0243684121553
Acton,2012,156,2012-06-04,159.22342658907718,80.96599890075319,256.22699742768805,125.34343518441429,163.10740690587875
Acton,2012,170,2012-06-18,26.416054750976862,1.146480964935318,99.64596117589784,131.92073932228791,55.86988581492239
Acton,2012,184,2012-07-02,76.89007611733993,4.205535461914755,214.81437031520005,152.47481475314297,NA
Acton,2012,198,2012-07-16,506.86790464406295,343.569639812035,672.9429471418453,192.15718924319376,NA
Acton,2012,212,2012-07-30,116.55821646286074,18.526052402263765,235.297237545398,159.39555407543085,248.3892600837998
Acton,2012,226,2012-08-13,139.40003564210463,87.14376506989535,199.98128399156965,147.53142952293732,260.6950450713465
Acton,2014,181,2014-06-30,43.80795338227295,2.0114495614299046,139.73638088378158,55.386728831904094,120.5257559981631
Acton,2014,196,2014-07-15,234.4353164450863,94.65138012557408,371.8148316277187,85.94621596869537,244.33430982133223
Acton,2014,209,2014-07-28,80.17833459652667,21.945215448812956,141.95818216463664,59.15410873366081,123.19337025500293
Acton,2014,223,2014-08-11,127.0384424978096,52.78792360992331,202.85297950634538,73.22454416784615,158.798053122262
Acton,2014,237,2014-08-25,190.99579553921484,58.85052499696508,326.16550365764255,124.302722504371,NA
Castle,2014,155,2014-06-04,3.729214296622124,1.9200780007437834,5.4645441475573815,1.8817810789160023,4.470828918745425
Castle,2014,170,2014-06-19,2.7859357549938784,1.1062635416962368,4.436088127750582,0.9648417894881626,3.4655670478161364
Castle,2014,176,2014-06-25,2.775784328235203,1.2738829875900493,4.3876557779380425,1.064469468786788,NA
Castle,2014,183,2014-07-02,2.8129282488471636,1.1664829129202698,4.480873745031389,0.6817332338972962,3.540539925197474
Castle,2014,190,2014-07-09,2.4829374076105193,0.7514077385183939,4.176863594601826,0.6576454576502152,3.132469474943492
Castle,2014,197,2014-07-16,2.6982590414620957,1.0929458236306264,4.3289502283736825,1.2119257795615395,3.3728238018276198
Castle,2014,211,2014-07-30,3.268501193992192,1.8759252643764543,4.7383181279230024,1.5767267682520232,4.169747347830061
Castle,2014,218,2014-08-06,3.9283769137316704,2.4353939452830566,5.444927216669075,2.5836557014185004,4.910471142164588
Castle,2014,235,2014-08-23,4.49150353106415,3.0694748223964257,5.93280479279796,1.5302260806382029,5.6143794138301875
Castle,2015,175,2015-06-24,3.678148379629684,1.9016549446074804,5.497895234647103,0.4588673735451791,4.597685474537105
Castle,2015,182,2015-07-01,5.101181865185401,3.3418723692163916,6.844353146525185,0.5220357296764844,5.856147532755015
Castle,2015,196,2015-07-15,2.944094978632138,1.4070680022204212,4.515364777930784,1.0623756701987581,3.680118723290173
Castle,2015,210,2015-07-29,2.814951564516634,1.372858649939193,4.3058376643255425,1.1561578907697532,3.545724516320237
Castle,2015,224,2015-08-12,2.953215380825945,1.6077495747381565,4.3422178124063056,1.7061699241402979,3.765425822206816
Castle,2015,241,2015-08-29,2.269426300215765,1.1863399987415117,3.472020209787523,0.7595257306970169,3.542578340001242
Castle,2016,195,2016-07-13,4.381810824323899,2.902178661774688,5.9931311097548825,2.240976744768623,5.510901220039963
Castle,2016,204,2016-07-22,5.005586338638414,3.4587083255059303,6.571891587908466,2.53924784848025,NA
Castle,2016,209,2016-07-27,5.15401384697529,3.598811113772085,6.741372955800969,1.9616869641006953,6.431100841396792
Castle,2016,216,2016-08-03,4.326072501459253,2.891519694698114,5.877238186058138,1.8654885503890941,NA
Castle,2016,224,2016-08-11,4.5398534409962625,2.9861019081181213,6.074074470133988,3.0960437407333705,5.415708126505191
Castle,2016,237,2016-08-24,4.219013160249155,2.8141230678093896,5.655364986212127,2.571341083853482,5.273766450311443
Castle,2017,214,2017-08-02,4.518717440853415,2.9427872675467373,6.159938792052711,2.204375201652315,NA
Castle,2017,229,2017-08-17,3.96048047115953,2.625562228160768,5.327319670186251,2.5797843205132143,5.175364074782744
Castle,2017,235,2017-08-23,4.253001575852212,2.905787652404254,5.664098236746854,2.818188265694718,5.316251969815266
Sparkling,2007,171,2007-06-20,3.8874965855775145,0.6362593889971684,7.623316738543801,3.715321521613733,4.341386865424683
Sparkling,2007,184,2007-07-03,2.90799021809861,0.302989002203557,6.080010532284061,8.04875809087068,3.8330537470418666
Sparkling,2007,198,2007-07-17,3.3570745729619453,0.43171538087651556,6.635090739666625,4.190314223242244,NA
Sparkling,2007,212,2007-07-31,2.6910549649216553,0.26515905465732176,6.059344566378384,4.829420682984298,NA
Sparkling,2008,152,2008-05-31,10.480529255563015,5.760353332819875,15.214503870070107,3.8293001038576966,NA
Sparkling,2008,162,2008-06-10,8.01546651482823,4.755613212408579,11.293647040588034,5.9810385683314635,9.258013821821805
Sparkling,2008,198,2008-07-16,4.693040048035027,1.5491695961438896,8.269341403063338,6.489699806593628,5.847448711620125
Sparkling,2008,227,2008-08-14,1.723580299181311,0.12718559598463097,5.072005063629079,4.0342207481572645,NA
Sparkling,2008,240,2008-08-27,2.6051718616553727,0.24905552019274851,5.998786283422842,2.595682160030752,2.7912344751629656
Sparkling,2009,163,2009-06-12,4.116438511268217,1.0663416037243354,7.183332354548911,3.181149143554583,NA
Sparkling,2009,176,2009-06-25,8.901485688684236,5.854902634812933,12.128993107568212,2.7041157952496078,NA
Sparkling,2009,204,2009-07-23,5.635781290466687,2.6323078732002045,8.809173138790488,3.3980143507569296,7.928072460806091
Sparkling,2009,218,2009-08-06,6.500565174536329,3.3265688811515814,9.643576066626556,3.451531459787711,7.209550848705073
Sparkling,2009,232,2009-08-20,4.662626486782069,2.245680533401853,7.427878032153039,3.14037943114916,7.682301328267951
Sparkling,2010,173,2010-06-22,2.497197512120694,0.20736867468871453,5.799538959856805,3.307952267334146,2.8454114850441794
Sparkling,2010,188,2010-07-07,2.0775381634399115,0.2713222847432374,3.863195333717787,5.212924006103598,NA
Sparkling,2010,202,2010-07-21,3.2949934183658014,0.9304896544052589,6.259711834348635,5.150132093251945,NA
Sparkling,2011,182,2011-07-01,1.1350072799903808,0.0495609452581102,3.839968160888836,2.5727601443295045,2.404792048740941
Sparkling,2011,193,2011-07-12,5.398762897333773,1.8311800263982367,8.946482559992274,3.150963576491457,4.982115567059621
Sparkling,2011,207,2011-07-26,5.442814799604217,1.9357319204676766,8.955783171946297,2.530281739472693,5.098534874963645
Sparkling,2011,220,2011-08-08,5.351792471814927,2.06880125490679,8.678729137712853,2.7626289322838598,6.073659318116089
Sparkling,2011,235,2011-08-23,3.182621390989863,0.49908490839228464,6.404101565286373,1.2553821234711025,NA
Sparkling,2012,166,2012-06-14,1.7035973077241473,0.22084038765000344,3.938738579536909,1.8435216895974993,3.5792172709276837
Sparkling,2012,180,2012-06-28,3.5400382243820503,0.55512304436935,6.911781251810149,3.464315506167654,4.2874147220232555
Sparkling,2012,193,2012-07-11,6.294274438226503,2.8726008423885627,9.622474477483095,5.370102983013881,7.793989555780505
Sparkling,2012,208,2012-07-26,3.447154056983841,0.7352271473460511,6.244702076624269,4.230379280970591,NA
Sparkling,2012,222,2012-08-09,3.3503860629492537,1.2460405744951581,5.617326047257038,3.1589281995210845,5.98372370836614
Sparkling,2013,176,2013-06-25,8.332211686395087,4.907416217454739,12.012051049934426,2.180271572559165,8.839732541913884
Sparkling,2013,205,2013-07-24,5.7243893119832965,2.4347301053368353,9.061345083426637,2.6379096941419746,6.612263032188533
Sparkling,2013,217,2013-08-05,3.0274540122296987,0.38064516628127826,6.611499773322032,2.4673121082669,3.87948241413615
Sparkling,2013,233,2013-08-21,2.0878825527808176,0.18602632457882978,4.903841834750631,1.6159810948394566,2.8684203517183833
Trout,2007,171,2007-06-20,6.257552601456117,3.024065251697615,9.633218240929043,7.111969718570574,7.821940751820147
Trout,2007,199,2007-07-18,5.396498708080635,2.4064097049469226,8.374149726026712,7.027831577767984,NA
Trout,2007,212,2007-07-31,3.8365738318352904,0.8652185380799757,7.053634788391539,8.25208117511761,4.795717289794113
Trout,2008,185,2008-07-03,3.145014598067404,1.290662792267468,5.415588848537103,8.42292655517732,4.457331041554651
Trout,2008,200,2008-07-18,5.691672085781794,3.372743064114691,8.400526780627743,7.487730983531587,7.903773969365228
Trout,2008,213,2008-07-31,3.570561979574613,2.0217249930031707,5.790748371697905,4.553631763534818,4.463202474468266
Trout,2008,227,2008-08-14,2.871270714367406,1.0141465604745044,5.395467789785393,5.447732982440625,3.64349304194683
Trout,2008,239,2008-08-26,3.3152337596052903,2.2208863379320394,4.6236847563776236,3.9632439892216618,5.328630351061269
Trout,2009,161,2009-06-10,5.657080841806221,2.5792323666209507,8.858979918482817,3.747595182748009,7.071351052257776
Trout,2009,180,2009-06-29,4.81899846117326,2.401605528905496,7.640580399017969,3.476293214483333,7.201801185477653
Trout,2009,187,2009-07-06,6.059072764366531,2.5860745990088376,9.652234269833249,2.3722125721026197,NA
Trout,2009,230,2009-08-18,6.307618406488347,3.2717660013911294,9.313338409825327,3.482469768284568,6.993930244375904
Trout,2010,173,2010-06-22,3.705360904945331,1.8105030973762848,5.912929376229668,3.8021566175888033,4.810051967422565
Trout,2010,188,2010-07-07,4.942103972752191,3.7029106380390173,6.211151539432274,4.024960774682252,6.1776299659402385
Trout,2012,152,2012-05-31,5.52510193117669,1.779587641379268,9.424757137583896,2.835693030023099,NA
Trout,2012,165,2012-06-13,7.58032479784934,4.400758933178931,10.962033776042597,6.101232592709635,9.771211073215937
Trout,2012,178,2012-06-26,5.408619402970306,2.5170685686839103,8.53856201872669,2.469820038212378,7.406368388070464
Trout,2012,192,2012-07-10,7.330655317843515,4.052365479927259,10.765517284417397,3.639128148876042,8.179769166199735
Trout,2012,207,2012-07-25,4.696093664186853,2.147480081897556,7.245428993865882,2.8900943334201714,7.126336788339884
Trout,2012,220,2012-08-07,6.864146534482325,3.6829402752685603,10.337372485613146,4.627007048006054,8.851401931265004
